('f', 'v', 'a'),21
('r', 'n', 'n'),21
('m', 'f', 'v'),21
('s', 'v', 'd'),21
('a', 'nr', 'd'),20
('b', 'n', 'v'),20
('t', 'n', 'f'),20
('n', 'a', 'ns'),20
('nr', 'v', 'ns'),20
('ns', 'v', 'm'),20
('t', 'm', 'n'),20
('v', 'q', 'v'),20
('n', 'z', 'v'),20
('m', 'n', 't'),20
('n', 'q', 'n'),20
('v', 'ad', 'v'),19
('v', 'nr', 'a'),19
('v', 'a', 'm'),19
('t', 'v', 'a'),19
('f', 'n', 'm'),19
('ns', 'n', 'nr'),19
('v', 'nr', 'f'),19
('f', 'v', 'f'),19
('n', 'l', 'nr'),19
('n', 'd', 'nr'),19
('m', 'f', 'n'),19
('nr', 's', 'v'),19
('ns', 'n', 'f'),18
('f', 'nr', 'n'),18
('v', 'm', 'ns'),18
('n', 'l', 'd'),18
('m', 'd', 'n'),18
('vn', 'v', 'n'),18
('m', 't', 'v'),18
('d', 't', 'v'),18
('ad', 'v', 'v'),18
('nr', 'n', 'm'),18
('n', 'n', 'i'),18
('s', 'n', 'd'),18
('n', 'v', 'vn'),18
('v', 's', 'nr'),18
('n', 'ns', 'ns'),18
('v', 'nr', 's'),18
('a', 'v', 'nr'),18
('d', 'n', 't'),18
('f', 'd', 'n'),18
('nr', 'a', 'n'),17
('m', 'n', 's'),17
('v', 'v', 'vn'),17
('v', 'nz', 'n'),17
('v', 'a', 'ns'),17
('ns', 'm', 'n'),17
('d', 'l', 'n'),17
('v', 'nr', 't'),17
('t', 'v', 't'),17
('d', 'ns', 'v'),17
('v', 'd', 'ns'),17
('t', 'v', 'nr'),17
('n', 'n', 'z'),17
('d', 'n', 'm'),17
('v', 'd', 'nr'),17
('n', 't', 'm'),17
('q', 'v', 'n'),17
('v', 'n', 'q'),17
('d', 'v', 'f'),16
('d', 'l', 'v'),16
('n', 'd', 'ns'),16
('l', 'nr', 'v'),16
('v', 'l', 'nr'),16
('b', 'v', 'n'),16
('r', 'd', 'v'),16
('t', 'n', 'd'),16
('d', 'ns', 'n'),16
('v', 'n', 'z'),16
('v', 'ns', 't'),16
('v', 'z', 'n'),16
('t', 'm', 'v'),16
('a', 'ns', 'v'),16
('f', 'a', 'n'),15
('m', 'v', 's'),15
('v', 'f', 'nr'),15
('m', 'ns', 'n'),15
('d', 't', 'n'),15
('v', 'ns', 'm'),15
('l', 'v', 'a'),15
('ns', 'f', 'v'),15
('a', 'n', 't'),15
('l', 'ns', 'v'),15
('v', 's', 'd'),15
('v', 'l', 'd'),15
('v', 'd', 'c'),15
('d', 'c', 'n'),15
('t', 'n', 'a'),15
('n', 'v', 'z'),15
('n', 'nr', 't'),15
('d', 'v', 'l'),15
('ns', 'a', 'n'),15
('n', 'b', 'n'),15
('n', 'm', 'f'),15
('t', 'd', 'n'),15
('d', 'n', 'a'),14
('ad', 'v', 'n'),14
('l', 'n', 'd'),14
('b', 'v', 'v'),14
('nr', 'f', 'v'),14
('ng', 'v', 'n'),14
('t', 't', 'v'),14
('z', 'v', 'v'),14
('z', 'n', 'v'),14
('v', 'd', 't'),14
('a', 'v', 'ns'),14
('a', 'n', 's'),14
('a', 's', 'v'),14
('nr', 'v', 's'),14
('v', 'd', 'i'),14
('d', 'i', 'v'),14
('n', 'f', 't'),14
('v', 't', 'm'),14
('s', 'nr', 'n'),14
('v', 'b', 'n'),14
('t', 'nr', 'n'),14
('s', 'nr', 'v'),14
('l', 'nr', 'n'),14
('c', 'd', 'v'),14
('l', 'a', 'n'),14
('v', 'f', 'd'),14
('v', 'nrt', 'nrt'),14
('s', 'v', 'nr'),13
('n', 'd', 'f'),13
('n', 'ng', 'v'),13
('m', 'ns', 'v'),13
('n', 'r', 'a'),13
('a', 'ns', 'n'),13
('m', 'v', 't'),13
('m', 'v', 'ns'),13
('n', 'ad', 'v'),13
('n', 't', 'd'),13
('n', 'f', 'ns'),13
('l', 'ns', 'n'),13
('n', 'a', 's'),13
('l', 'v', 'm'),13
('nz', 'v', 'v'),13
('v', 'l', 'l'),13
('f', 'n', 'a'),13
('n', 'n', 'q'),13
('nz', 'n', 'n'),13
('nr', 'a', 'nr'),13
('a', 'n', 'l'),13
('m', 'n', 'l'),13
('ns', 'v', 'a'),13
('ns', 't', 'v'),13
('r', 'n', 'f'),13
('n', 'f', 's'),13
('l', 'l', 'n'),13
('ns', 'v', 'd'),13
('n', 'n', 'b'),13
('n', 'nz', 'n'),13
('a', 'n', 'ns'),13
('ns', 'v', 't'),13
('d', 'r', 'v'),13
('t', 'v', 'ns'),13
('l', 'm', 'n'),12
('s', 'v', 'ns'),12
('n', 'f', 'l'),12
('d', 'a', 'a'),12
('l', 'n', 'a'),12
('v', 'nr', 'ns'),12
('nr', 'ns', 'v'),12
('v', 'v', 'nz'),12
('ns', 'n', 'm'),12
('r', 'n', 'd'),12
('d', 'n', 'ns'),12
('m', 'v', 'f'),12
('t', 'a', 'n'),12
('v', 'v', 'z'),12
('l', 'v', 'd'),12
('m', 'v', 'c'),12
('v', 'd', 'vn'),12
('nz', 'n', 'v'),12
('s', 'm', 'n'),12
('f', 'f', 'v'),12
('v', 'n', 'b'),12
('m', 'a', 'v'),12
('n', 'q', 'v'),12
('nr', 'nr', 'd'),12
('d', 'v', 'c'),12
('v', 'c', 'm'),12
('d', 'v', 'nrt'),12
('d', 'm', 'm'),11
('a', 'n', 'r'),11
('d', 's', 'v'),11
('m', 'n', 'ns'),11
('v', 'ns', 'f'),11
('n', 'a', 't'),11
('n', 'ng', 'n'),11
('m', 'm', 'd'),11
('nr', 'r', 'n'),11
('v', 'd', 's'),11
('n', 'c', 'd'),11
('n', 'nr', 'ns'),11
('s', 'n', 'a'),11
('n', 'i', 'nr'),11
('q', 'v', 'v'),11
('v', 's', 'm'),11
('d', 'vn', 'v'),11
('n', 'v', 'b'),11
('m', 'm', 'f'),11
('c', 'v', 'd'),11
('t', 'n', 'nr'),11
('nr', 'd', 'd'),11
('d', 'f', 'n'),11
('nr', 'v', 'l'),11
('t', 'n', 't'),11
('i', 'n', 'd'),11
('n', 'nr', 's'),11
('nrt', 'n', 'f'),11
('f', 'v', 'ns'),11
('v', 'mq', 'v'),11
('ns', 'ns', 'd'),11
('n', 'a', 'f'),11
('nrt', 'd', 'v'),11
('d', 'f', 'v'),10
('n', 'v', 'ng'),10
('nr', 's', 'n'),10
('v', 'b', 'v'),10
('n', 'f', 'r'),10
('ns', 'v', 'nr'),10
('n', 'ns', 'f'),10
('d', 'd', 'a'),10
('n', 'v', 'nz'),10
('d', 'n', 'l'),10
('v', 'a', 's'),10
('nr', 'l', 'v'),10
('a', 'v', 't'),10
('a', 't', 'v'),10
('mq', 'v', 'v'),10
('n', 'ns', 'm'),10
('c', 'n', 'd'),10
('m', 'f', 'm'),10
('n', 't', 'a'),10
('nr', 't', 'n'),10
('v', 's', 'a'),10
('r', 'v', 'd'),10
('nr', 'n', 's'),10
('m', 'm', 'a'),10
('v', 'm', 'c'),10
('nr', 'd', 'nr'),10
('b', 'n', 'n'),10
('v', 'a', 'l'),10
('d', 'c', 'v'),10
('r', 'v', 'nr'),10
('n', 'z', 'n'),10
('f', 'v', 't'),10
('m', 't', 'n'),10
('f', 'm', 'm'),10
('a', 'nr', 'nr'),10
('d', 'd', 'd'),10
('n', 'ns', 'd'),10
('a', 'f', 'n'),10
('c', 'nr', 'n'),10
('t', 'nr', 'd'),10
('nrt', 'v', 'nrt'),10
('nr', 'n', 'l'),9
('m', 'v', 'l'),9
('s', 'n', 'm'),9
('v', 'v', 'b'),9
('v', 't', 't'),9
('vn', 'd', 'v'),9
('n', 'nz', 'v'),9
('d', 'ns', 'ns'),9
('ns', 'n', 'a'),9
('v', 'd', 'r'),9
('d', 'v', 'vn'),9
('a', 'd', 'd'),9
('ad', 'n', 'n'),9
('n', 'c', 'a'),9
('t', 'n', 'm'),9
('f', 'ns', 'n'),9
('s', 'n', 'f'),9
('r', 'v', 'a'),9
('t', 's', 'v'),9
('i', 'nr', 'v'),9
('v', 'ng', 'n'),9
('nr', 'f', 'n'),9
('ng', 'd', 'v'),9
('vn', 'n', 'a'),9
('vn', 'a', 'n'),9
('m', 'a', 'm'),9
('l', 'n', 'l'),9
('t', 'm', 'm'),9
('d', 'n', 's'),9
('v', 'nr', 'c'),9
('nr', 'f', 'nr'),9
('n', 'f', 'f'),9
('s', 't', 'v'),9
('v', 'v', 'ng'),9
('s', 'v', 's'),9
('d', 'n', 'c'),9
('t', 't', 'n'),9
('d', 'a', 'm'),9
('nr', 'v', 'f'),9
('n', 'b', 'v'),9
('v', 'm', 'q'),9
('c', 'v', 'm'),9
('v', 'ns', 'a'),9
('n', 'd', 'r'),9
('a', 'ns', 'd'),9
('n', 'n', 'nz'),9
('ns', 'nr', 'd'),9
('ns', 'd', 'n'),9
('v', 'ns', 'nr'),9
('ns', 'ns', 'ns'),9
('v', 'a', 'f'),9
('nr', 'nr', 'nr'),9
('n', 'd', 's'),9
('a', 'nr', 'a'),9
('r', 'n', 'nr'),9
('v', 'nrt', 'd'),9
('m', 'nr', 'nr'),9
('n', 'a', 'l'),8
('nr', 'n', 't'),8
('v', 'n', 'ng'),8
('a', 'l', 'n'),8
('ns', 'v', 's'),8
('t', 'v', 's'),8
('s', 'v', 'a'),8
('z', 'v', 'm'),8
('n', 't', 't'),8
('ns', 'n', 'l'),8
('d', 'r', 'n'),8
('v', 'i', 'd'),8
('vn', 'n', 'd'),8
('ns', 'f', 'n'),8
('l', 'ns', 'nr'),8
('a', 'n', 'z'),8
('d', 'vn', 'n'),8
('nz', 'f', 'v'),8
('f', 'r', 'v'),8
('n', 'n', 'o'),8
('c', 'd', 'n'),8
('v', 's', 's'),8
('a', 'd', 'l'),8
('n', 'nr', 'f'),8
('v', 'nz', 'v'),8
('d', 'v', 'q'),8
('v', 'nr', 'l'),8
('z', 'n', 'n'),8
('f', 't', 'v'),8
('nr', 'n', 'ns'),8
('l', 'n', 'nr'),8
('nr', 'n', 'c'),8
('a', 'r', 'v'),8
('a', 'm', 'a'),8
('t', 'a', 'v'),8
('s', 'n', 'nr'),8
('i', 'd', 'v'),8
('t', 'ns', 'n'),8
('ns', 'nr', 'v'),8
('r', 'a', 'v'),8
('v', 'i', 'nr'),8
('a', 'a', 'd'),8
('f', 'ns', 'v'),8
('a', 'a', 'a'),8
('nr', 't', 'd'),8
('v', 'nr', 'r'),8
('c', 'n', 'a'),8
('a', 'a', 'nr'),8
('nr', 'd', 'a'),8
('f', 'n', 't'),8
('mq', 'n', 'v'),8
('v', 'f', 'a'),8
('d', 'a', 'nr'),8
