('d', 'a', 'd'),2
('d', 'r', 'd'),2
('n', 'q', 'v'),2
('q', 'v', 'n'),2
('d', 'v', 'l'),2
('n', 't', 'm'),2
('t', 'm', 'n'),2
('m', 'v', 'l'),2
('ns', 'm', 'v'),2
('m', 't', 'v'),2
('a', 'n', 'c'),2
('c', 'v', 't'),2
('v', 'q', 'v'),2
('vg', 'n', 'n'),2
('s', 'd', 'm'),2
('d', 'n', 'c'),2
('s', 'n', 'd'),2
('n', 'd', 't'),2
('m', 'm', 'm'),2
('m', 'm', 'd'),2
('n', 'f', 'm'),2
('b', 'a', 'n'),2
('v', 'v', 'c'),2
('v', 'z', 'n'),2
('v', 'n', 'z'),2
('l', 'v', 's'),2
('n', 'd', 'nr'),2
('z', 'nr', 'nr'),2
('m', 'v', 'a'),2
('nr', 'v', 'm'),2
('a', 'd', 'a'),2
('d', 'v', 'q'),2
('r', 'v', 't'),2
('m', 'n', 'nr'),2
('nr', 'm', 'n'),2
('nr', 'q', 'n'),2
('q', 'n', 'v'),2
('m', 'f', 'n'),2
('b', 'n', 'v'),2
('v', 's', 't'),2
('m', 't', 'c'),2
('t', 'c', 'v'),2
('m', 'a', 'v'),2
('l', 'a', 'd'),2
('n', 't', 'nr'),2
('v', 'ns', 'ns'),2
('ns', 'ns', 'n'),2
('m', 'v', 's'),2
('v', 's', 'r'),2
('v', 'd', 'ns'),2
('n', 'd', 'd'),2
('t', 'd', 'd'),2
('v', 'l', 'n'),2
('v', 'q', 'n'),2
('q', 'n', 'n'),2
('d', 'v', 't'),2
('n', 'n', 'u'),2
('v', 'v', 'mq'),2
('r', 'v', 'v'),2
('nr', 'n', 'nr'),2
('n', 'nr', 'nr'),2
('vn', 't', 'v'),2
('z', 'n', 'd'),2
('nr', 'ns', 'n'),2
('n', 'ns', 'ns'),2
('v', 's', 'a'),2
('s', 'a', 'v'),2
('m', 's', 'v'),2
('c', 'n', 'v'),2
('b', 'n', 'n'),2
('d', 't', 'a'),2
('d', 'a', 's'),2
('n', 'vn', 'n'),2
