('nr', 'ns', 'n'),11
('f', 'n', 'a'),11
('s', 'n', 'f'),11
('a', 'd', 'n'),11
('n', 'd', 'i'),11
('d', 'i', 'v'),11
('n', 'zg', 'n'),11
('ns', 'f', 'n'),11
('n', 'ng', 'd'),11
('vn', 'n', 'v'),11
('ns', 'v', 'm'),11
('a', 'nr', 'v'),11
('t', 'v', 'd'),11
('a', 'v', 'nr'),11
('n', 's', 'd'),11
('i', 'd', 'n'),11
('n', 'n', 'vn'),11
('v', 'd', 'm'),11
('n', 'd', 'nr'),11
('ng', 'n', 'n'),11
('ns', 'n', 'd'),11
('f', 'v', 'ns'),11
('m', 'v', 'nr'),11
('t', 'nr', 'v'),11
('n', 'd', 'l'),11
('nz', 'v', 'n'),11
('f', 'ns', 'n'),11
('v', 'n', 'b'),11
('t', 'n', 'f'),11
('a', 'v', 't'),11
('v', 'f', 's'),11
('n', 'a', 't'),11
('v', 'd', 'l'),10
('v', 'f', 'nr'),10
('a', 't', 'n'),10
('a', 'n', 'l'),10
('n', 'm', 'f'),10
('n', 'f', 's'),10
('ns', 'n', 'f'),10
('ns', 'm', 'n'),10
('nz', 'n', 'n'),10
('n', 'ng', 'm'),10
('v', 'vn', 'n'),10
('vn', 'n', 'n'),10
('f', 'n', 't'),10
('v', 't', 't'),10
('v', 'd', 't'),10
('nr', 'v', 'l'),10
('a', 'n', 'ng'),10
('ng', 'f', 'v'),10
('d', 'ns', 'n'),10
('v', 'ng', 'v'),10
('n', 'n', 'zg'),10
('m', 'm', 't'),10
('b', 'n', 'v'),10
('d', 'v', 'l'),10
('r', 'n', 'a'),10
('v', 'r', 'd'),10
('m', 'a', 'a'),10
('q', 'v', 'n'),10
('nz', 'n', 'v'),10
('n', 'm', 't'),10
('nr', 't', 'n'),10
('v', 'a', 'nrfg'),10
('l', 'nr', 'n'),9
('a', 'n', 'ns'),9
('d', 's', 'v'),9
('d', 'l', 'v'),9
('n', 'nr', 'f'),9
('i', 'd', 'v'),9
('nr', 'v', 't'),9
('n', 'l', 'a'),9
('f', 'n', 'm'),9
('v', 'nr', 'ns'),9
('d', 'v', 'i'),9
('m', 'n', 'l'),9
('m', 'n', 'ns'),9
('v', 'v', 'vn'),9
('n', 'f', 'ns'),9
('n', 'v', 'b'),9
('z', 'n', 'v'),9
('n', 'f', 'i'),9
('n', 'f', 't'),9
('v', 't', 'l'),9
('t', 'l', 'n'),9
('l', 'a', 'v'),9
('t', 'd', 'n'),9
('ng', 'v', 'v'),9
('vg', 'n', 'v'),9
('n', 'd', 'ns'),9
('d', 't', 'n'),9
('v', 'nr', 'm'),9
('d', 'l', 'n'),9
('c', 'v', 'm'),9
('s', 'n', 'm'),9
('r', 'v', 'nr'),9
('v', 'f', 'd'),9
('n', 'i', 'm'),9
('v', 'nz', 'n'),9
('nr', 't', 'v'),9
('m', 'r', 'n'),9
('v', 't', 'nr'),9
('n', 't', 'nr'),9
('v', 'l', 'nr'),9
('l', 'n', 'nr'),9
('a', 'ns', 'v'),9
('nr', 'm', 'v'),9
('nr', 'v', 's'),9
('r', 'a', 'n'),9
('t', 'v', 'nr'),9
('a', 'v', 'q'),9
('t', 'v', 'a'),9
('n', 'f', 'r'),9
('n', 'a', 'nrfg'),9
('n', 'l', 'nr'),8
('v', 'nz', 'v'),8
('a', 'd', 'd'),8
('q', 'v', 'v'),8
('m', 'nr', 'm'),8
('l', 'm', 'n'),8
('m', 'ns', 'n'),8
('l', 'n', 'f'),8
('v', 'ns', 'm'),8
('n', 'ns', 'm'),8
('c', 'n', 'd'),8
('ns', 'd', 'v'),8
('s', 'a', 'n'),8
('v', 'b', 'v'),8
('m', 'm', 'f'),8
('n', 'ad', 'v'),8
('ad', 'v', 'n'),8
('n', 't', 't'),8
('t', 'v', 't'),8
('l', 't', 'v'),8
('ns', 'n', 'a'),8
('ng', 'f', 'n'),8
('n', 'd', 't'),8
('n', 'nr', 's'),8
('r', 'n', 'f'),8
('f', 't', 'v'),8
