('ns', 'f', 'v'),25
('v', 'i', 'd'),25
('nr', 'd', 'd'),25
('n', 'n', 'nrt'),25
('v', 'f', 'nr'),25
('s', 'n', 'a'),25
('n', 't', 'm'),25
('v', 'm', 's'),25
('ns', 'n', 'd'),24
('d', 't', 'n'),24
('a', 'f', 'v'),24
('v', 'nr', 'c'),24
('nr', 'i', 'v'),24
('ng', 'n', 'v'),24
('nr', 'ns', 'v'),24
('a', 'v', 'l'),24
('a', 'ns', 'v'),24
('z', 'n', 'f'),24
('f', 's', 'v'),24
('c', 'v', 'm'),24
('nz', 'v', 'v'),24
('nr', 'v', 'ns'),24
('v', 'nr', 'i'),24
('v', 'a', 's'),24
('v', 'n', 'df'),24
('f', 'r', 'v'),24
('z', 'v', 'm'),23
('v', 'n', 'nz'),23
('z', 'v', 'nr'),23
('v', 'a', 'l'),23
('t', 't', 'n'),23
('d', 'd', 'a'),23
('n', 'nr', 's'),23
('q', 'n', 'd'),23
('a', 'vn', 'v'),23
('r', 'n', 'a'),23
('v', 'nr', 'r'),23
('df', 'v', 'v'),23
('a', 'n', 'ns'),23
('l', 'n', 'd'),23
('n', 'v', 'ng'),23
('m', 'n', 'ns'),23
('v', 'r', 't'),23
('n', 'f', 'l'),23
('a', 'm', 'm'),23
('n', 'ng', 'v'),23
('m', 'ns', 'v'),23
('n', 'l', 'a'),23
('n', 'd', 'vn'),22
('a', 'n', 'vn'),22
('d', 'm', 'a'),22
('f', 'v', 'r'),22
('n', 'a', 'f'),22
('n', 'a', 'ns'),22
('a', 'ns', 'n'),22
('a', 'v', 'vn'),22
('ns', 'nr', 'v'),22
('nr', 'd', 'm'),22
('q', 'a', 'v'),22
('n', 'd', 'c'),22
('c', 'v', 'd'),22
('v', 'r', 'a'),22
('vn', 'v', 'a'),22
('ns', 'n', 'f'),22
('m', 'l', 'n'),22
('nrt', 'n', 'v'),22
('n', 'n', 'ng'),22
('m', 'v', 'ns'),22
('ns', 'n', 'nr'),22
('n', 'f', 't'),22
('v', 'v', 'ad'),22
('r', 'a', 'n'),22
('d', 'i', 'v'),22
('t', 'r', 'v'),22
('l', 'd', 'n'),22
('v', 'd', 'vn'),22
('n', 'df', 'v'),22
('n', 'f', 's'),22
('n', 'ng', 'n'),22
('v', 'm', 'vn'),22
('l', 'nr', 'n'),22
('v', 'ns', 'ns'),21
('m', 'q', 'n'),21
('nr', 'a', 'nr'),21
('v', 'ns', 't'),21
('n', 'nz', 'n'),21
('c', 'nr', 'v'),21
('r', 'a', 'v'),21
('v', 'a', 'r'),21
('v', 'a', 'f'),21
('s', 'v', 's'),21
('v', 'm', 'i'),21
('n', 'nrt', 'n'),21
('m', 'v', 'l'),21
('nr', 'r', 'n'),21
('t', 'v', 'r'),21
('n', 'l', 'd'),21
('nrt', 'n', 'n'),21
('n', 'm', 't'),21
('df', 'v', 'n'),21
('n', 'r', 'a'),21
('nr', 's', 'n'),21
('r', 'n', 'nr'),21
('a', 'v', 'q'),21
('m', 'n', 'r'),21
('n', 'nr', 'i'),20
('b', 'v', 'a'),20
('d', 'n', 's'),20
('nr', 'nr', 'm'),20
('f', 'm', 'm'),20
('n', 'f', 'z'),20
('f', 'm', 'a'),20
('m', 'l', 'v'),20
('n', 'c', 'd'),20
('n', 'nr', 'l'),20
('m', 'v', 'q'),20
('d', 'l', 'n'),20
('d', 'v', 'i'),20
('r', 'n', 'd'),20
('d', 'vn', 'v'),20
('l', 'm', 'n'),20
('q', 'nr', 'n'),20
('l', 'nr', 'd'),20
('n', 'f', 'vn'),20
('q', 'nr', 'v'),20
('l', 'a', 'n'),20
('f', 's', 'n'),20
('v', 'vn', 'a'),19
('nr', 'c', 'n'),19
('a', 'm', 'a'),19
('n', 'nr', 'r'),19
('t', 'c', 'v'),19
('ns', 'n', 'a'),19
('d', 'a', 'm'),19
('r', 'v', 'r'),19
('nr', 'n', 'l'),19
('d', 'a', 't'),19
('a', 'a', 'm'),19
('nr', 'c', 'v'),19
('a', 'l', 'n'),19
('n', 'v', 'ad'),19
('a', 'nr', 'a'),19
('s', 'd', 'n'),19
('a', 's', 'n'),19
('a', 'm', 'd'),19
('n', 'vn', 'd'),19
('a', 'c', 'v'),19
('a', 'd', 'd'),19
('a', 'vn', 'n'),19
('a', 'd', 'a'),19
('v', 'd', 'r'),19
('ad', 'n', 'v'),19
