('nr', 'm', 'v'),10
('t', 'n', 'a'),10
('t', 'n', 'm'),10
('i', 'n', 'v'),10
('v', 'nr', 's'),10
('v', 'f', 'm'),10
('v', 'f', 'a'),10
('a', 'v', 't'),10
('t', 'n', 'nr'),9
('s', 'n', 'f'),9
('n', 'z', 'n'),9
('v', 'i', 'v'),9
('n', 'df', 'v'),9
('l', 'nr', 'd'),9
('n', 'ns', 'f'),9
('m', 'n', 'r'),9
('ns', 'v', 'm'),9
('f', 'a', 'a'),9
('d', 'a', 'nr'),9
('v', 't', 'm'),9
('f', 's', 'n'),9
('v', 'n', 'df'),9
('m', 'v', 't'),9
('n', 'nr', 'ns'),9
('f', 'n', 'a'),9
('s', 'v', 'd'),9
('s', 'v', 'a'),9
('b', 'n', 'n'),9
('ns', 'f', 'v'),9
('df', 'v', 'v'),9
('v', 'nz', 'v'),9
('v', 'q', 'nr'),9
('n', 'd', 'nr'),9
('l', 'm', 'n'),9
('m', 'nr', 'd'),9
('v', 's', 'a'),9
('c', 'v', 'm'),9
('v', 'n', 'q'),9
('n', 'q', 'n'),9
('d', 'n', 'f'),9
('n', 't', 'a'),9
('ng', 'n', 'n'),9
('vn', 'n', 'v'),9
('n', 'l', 'nr'),8
('z', 'v', 'n'),8
('ns', 'v', 't'),8
('m', 'n', 'ns'),8
('nr', 'd', 'a'),8
('d', 's', 'v'),8
('s', 'v', 's'),8
('s', 'nr', 'v'),8
('n', 'd', 't'),8
('n', 'm', 's'),8
('m', 's', 'n'),8
('v', 't', 's'),8
('n', 'nr', 'a'),8
('n', 'f', 't'),8
('m', 'n', 'i'),8
('t', 't', 'n'),8
('v', 't', 'a'),8
('f', 's', 'v'),8
('a', 's', 'n'),8
('q', 'a', 'v'),8
('n', 'i', 'n'),8
('n', 's', 'm'),8
('i', 'v', 'v'),8
('s', 'a', 'v'),8
('d', 'v', 's'),8
('v', 'n', 'i'),8
('n', 'v', 'z'),8
('v', 'nr', 'ns'),8
('ns', 'ns', 'n'),8
('l', 'a', 'n'),8
('d', 'n', 'nr'),8
('v', 'n', 'z'),8
('r', 'nr', 'v'),8
('n', 'v', 'nz'),8
('l', 'n', 'd'),8
('m', 'n', 'b'),8
('f', 'm', 'v'),8
('l', 'nr', 'v'),8
('v', 'i', 'n'),8
('d', 'm', 'a'),8
('z', 'n', 'n'),8
('n', 't', 't'),8
('q', 'n', 'f'),8
('v', 't', 't'),8
('d', 'v', 'q'),8
('ng', 'v', 'v'),7
('v', 'nr', 't'),7
('v', 'nr', 'c'),7
('a', 'v', 'f'),7
('n', 'f', 's'),7
('v', 'v', 'nz'),7
('v', 'n', 'ng'),7
('t', 's', 'v'),7
('ns', 'n', 'f'),7
('s', 'n', 'a'),7
('z', 'n', 'v'),7
('n', 'a', 'f'),7
('v', 'c', 'm'),7
('f', 'v', 'f'),7
('l', 'v', 'm'),7
('v', 'l', 't'),7
('nr', 'v', 'ns'),7
('r', 'v', 'nr'),7
('v', 'ns', 'ns'),7
('n', 'd', 'r'),7
('s', 'n', 'd'),7
('n', 'a', 't'),7
('ns', 'nr', 'v'),7
('d', 'nr', 'v'),7
('m', 'n', 'l'),7
('q', 'a', 'n'),7
('v', 'a', 'l'),7
('c', 'a', 'n'),7
('nr', 'd', 'd'),7
('m', 'm', 'a'),7
('a', 'v', 's'),7
('q', 'v', 'm'),7
('d', 'ns', 'n'),7
('n', 'vn', 'n'),7
('v', 'v', 'ng'),7
('f', 'm', 'm'),7
('d', 'l', 'n'),7
('nr', 'c', 'v'),7
('z', 'n', 'f'),6
('d', 'a', 'a'),6
('v', 's', 'nr'),6
('q', 'nr', 'n'),6
('t', 'd', 'm'),6
('v', 'ng', 'v'),6
('n', 'n', 'z'),6
('t', 'v', 't'),6
('n', 't', 'm'),6
('ns', 'v', 'nr'),6
('nr', 'n', 'i'),6
('n', 'ng', 'v'),6
('v', 'ng', 'n'),6
('a', 'm', 'm'),6
('a', 'a', 'a'),6
('d', 'i', 'v'),6
('nr', 'ns', 'v'),6
('n', 'a', 's'),6
('v', 'f', 's'),6
('a', 'nr', 'a'),6
('ns', 's', 'v'),6
('v', 'a', 's'),6
('a', 'n', 'ns'),6
('n', 's', 'd'),6
('f', 'v', 'ns'),6
('v', 'ns', 'nr'),6
('z', 'v', 'a'),6
('l', 'v', 'a'),6
('i', 'n', 'n'),6
('c', 'nr', 'n'),6
('n', 'nrt', 'v'),6
('r', 'n', 'a'),6
('a', 'd', 'n'),6
('n', 'd', 'ns'),6
('v', 'l', 'nr'),6
('ns', 'n', 'm'),6
('m', 's', 'v'),6
('q', 't', 'v'),6
('v', 'b', 'v'),6
('n', 'm', 't'),6
('v', 'l', 'm'),6
('nz', 'v', 'v'),6
('nr', 'n', 'l'),6
('nr', 's', 'n'),6
('m', 'a', 'a'),6
('v', 'r', 'd'),6
('m', 'v', 'ns'),6
('t', 'd', 'n'),6
('n', 'ng', 'n'),6
('v', 'a', 'q'),6
('a', 'a', 'nr'),6
('n', 'r', 'm'),6
('ng', 'n', 'v'),6
('a', 'n', 't'),6
('vn', 'v', 'n'),6
('v', 'f', 'd'),6
('n', 's', 's'),6
('m', 'ns', 'n'),6
('n', 'n', 'ng'),6
('a', 'nr', 'd'),6
('ns', 'n', 'd'),6
('a', 't', 'n'),6
('v', 'a', 'f'),6
('v', 's', 'd'),6
('a', 'v', 'q'),6
('m', 'd', 'm'),6
('t', 't', 'v'),6
('q', 'n', 'nr'),6
('n', 'r', 't'),6
('m', 'a', 'm'),6
('f', 'n', 't'),5
('t', 'ns', 'v'),5
('f', 't', 'v'),5
('n', 'z', 'm'),5
('v', 's', 'ns'),5
('n', 'v', 'u'),5
('nr', 'nr', 'd'),5
('i', 'm', 'n'),5
('v', 'n', 'nrt'),5
('a', 'a', 'm'),5
('r', 'm', 'v'),5
('d', 't', 'n'),5
('n', 'd', 's'),5
('n', 'f', 'z'),5
('d', 'v', 'ns'),5
('v', 'ns', 'm'),5
('v', 's', 'm'),5
('s', 'n', 'nr'),5
('c', 'm', 'n'),5
('v', 'q', 'a'),5
('t', 'a', 'n'),5
('a', 'f', 'n'),5
('r', 'd', 'v'),5
('l', 'n', 'f'),5
('ns', 'nr', 'n'),5
('t', 'n', 't'),5
('d', 'l', 'v'),5
('m', 't', 'd'),5
('v', 'v', 'df'),5
('a', 'ns', 'v'),5
('c', 'm', 'v'),5
('v', 'r', 'nr'),5
('v', 'v', 'i'),5
('f', 'd', 'n'),5
('m', 'n', 'c'),5
('d', 'n', 's'),5
('n', 'd', 'c'),5
('m', 'l', 'n'),5
('a', 'm', 'd'),5
('q', 'v', 'a'),5
('nrt', 'v', 'n'),5
('nr', 'a', 'nr'),5
('v', 'm', 'f'),5
