('a', 'v', 'l'),15
('a', 'n', 'l'),15
('s', 'f', 'v'),15
('nr', 'f', 'v'),15
('d', 'a', 'd'),15
('v', 'nr', 'l'),15
('a', 'r', 'v'),15
('r', 'v', 'r'),15
('m', 'v', 'q'),15
('n', 's', 'm'),14
('s', 'm', 'n'),14
('f', 'v', 'f'),14
('v', 'nr', 'r'),14
('v', 'r', 't'),14
('q', 'nr', 'v'),14
('n', 't', 't'),14
('l', 'a', 'v'),14
('m', 'l', 'n'),14
('t', 'v', 'q'),14
('d', 'n', 'a'),14
('n', 'nr', 's'),14
('n', 'v', 'nt'),14
('f', 'v', 'r'),14
('a', 'v', 'r'),14
('m', 'n', 's'),14
('l', 'v', 'd'),14
('f', 'd', 'n'),14
('n', 'v', 'nrt'),14
('v', 's', 'd'),14
('f', 'n', 'nr'),14
('vn', 'v', 'd'),14
('t', 'a', 'n'),14
('m', 'ns', 'v'),14
('n', 's', 'a'),14
('f', 'v', 't'),14
('s', 'v', 'd'),14
('t', 'v', 't'),14
('m', 'l', 'v'),14
('r', 'n', 'nr'),14
('s', 'a', 'v'),13
('a', 'a', 'a'),13
('n', 'f', 's'),13
('t', 'v', 'r'),13
('l', 'm', 'v'),13
('l', 'd', 'n'),13
('t', 'n', 'a'),13
('v', 'v', 'ng'),13
('m', 'ns', 'n'),13
('n', 'z', 'n'),13
('m', 'a', 'nr'),13
('v', 'i', 'd'),13
('ns', 'n', 'nr'),13
('v', 'm', 'r'),13
('v', 'nr', 'c'),13
('r', 'd', 'v'),13
('ns', 'v', 'nr'),13
('n', 'v', 'nz'),13
('i', 'd', 'v'),13
('r', 'n', 'f'),13
('r', 'a', 'v'),13
('t', 'r', 'v'),13
('q', 'nr', 'n'),13
('a', 'm', 'm'),13
('s', 'v', 'a'),13
('d', 'vn', 'v'),13
('v', 'n', 'nz'),13
('n', 'nr', 'l'),13
('v', 'd', 't'),13
('n', 'nz', 'n'),13
('v', 'm', 'q'),13
('f', 'a', 'v'),12
('n', 'f', 'z'),12
('v', 'ns', 's'),12
('a', 'v', 'ns'),12
('d', 'v', 'ns'),12
('n', 'ng', 'n'),12
('ns', 'n', 'd'),12
('d', 'm', 'm'),12
('m', 'vn', 'v'),12
('f', 'nr', 'n'),12
('m', 'r', 'v'),12
('vn', 'nr', 'v'),12
('z', 'n', 'f'),12
('n', 'nr', 'r'),12
('nr', 'r', 'n'),12
('v', 'r', 'd'),12
('f', 'l', 'v'),12
('t', 'n', 'm'),12
('d', 'a', 'a'),12
('nrt', 'n', 'n'),12
('d', 'v', 'c'),12
('nr', 'l', 'n'),12
('m', 'ns', 'ng'),12
('n', 'f', 't'),12
('r', 'v', 'a'),12
('v', 'ad', 'v'),12
('v', 'm', 'vn'),12
('a', 'f', 'n'),12
('n', 'nr', 'i'),12
('n', 'b', 'nr'),12
('a', 's', 'v'),12
('n', 'ng', 'v'),12
('ng', 'v', 'n'),12
('i', 'n', 'd'),12
('i', 'v', 'm'),12
('v', 'a', 's'),12
('v', 'ns', 'd'),12
('v', 'ng', 'v'),12
('r', 'n', 'd'),12
('nz', 'v', 'n'),12
('m', 's', 'v'),12
('r', 'n', 'a'),12
('a', 'v', 'q'),12
('v', 'r', 'a'),12
('l', 'a', 'n'),11
('nr', 'r', 'v'),11
('r', 'a', 'n'),11
('ns', 'a', 'v'),11
('ns', 'v', 'ns'),11
('n', 'l', 'm'),11
('ns', 'nr', 'v'),11
('v', 'd', 'm'),11
('t', 't', 'n'),11
('a', 'nr', 'nr'),11
('nr', 'v', 'ns'),11
('nr', 's', 'n'),11
('t', 'l', 'v'),11
('nr', 'd', 'a'),11
('f', 'm', 'a'),11
('n', 'f', 'i'),11
('vn', 'v', 'a'),11
('a', 'q', 'v'),11
('m', 'v', 'r'),11
('f', 's', 'v'),11
('d', 's', 'v'),11
('f', 'n', 'm'),11
('f', 's', 'n'),11
('v', 'd', 'vn'),11
('a', 'a', 'm'),11
('nr', 'd', 'd'),11
('d', 'd', 'd'),11
('m', 'v', 'l'),11
('n', 'nr', 'f'),11
('ad', 'v', 'v'),11
('a', 'l', 'n'),11
('nrt', 'n', 'v'),11
('a', 'nr', 'd'),11
('n', 't', 'a'),11
('s', 's', 'v'),11
('v', 'n', 'df'),11
('s', 'n', 'a'),11
('vn', 'n', 'a'),11
('nr', 'nr', 't'),11
('v', 'mq', 'v'),11
('ns', 'd', 'v'),11
('nr', 'c', 'n'),11
('m', 'nr', 'nr'),11
('v', 'm', 's'),11
('v', 'd', 'r'),11
('l', 'n', 'd'),11
('n', 'f', 'vn'),11
('nr', 'd', 'm'),11
('d', 'l', 'n'),11
('f', 'z', 'n'),10
('m', 'f', 'v'),10
('v', 'l', 'a'),10
('n', 'n', 'ad'),10
('a', 'n', 'ns'),10
('n', 'r', 'a'),10
('a', 'v', 'f'),10
