('t', 'm', 'n'),4
('nr', 't', 'v'),4
('n', 'm', 'd'),4
('n', 'ad', 'v'),4
('n', 'nr', 'm'),4
('a', 'v', 'l'),4
('a', 'a', 'nr'),4
('c', 'm', 'v'),4
('n', 'nz', 'n'),4
('v', 'd', 't'),4
('d', 't', 'v'),4
('n', 'n', 'q'),4
('q', 'n', 'n'),4
('n', 'f', 'vn'),4
('m', 'vn', 'n'),4
('n', 'd', 'i'),4
('d', 'v', 'c'),4
('c', 'a', 'n'),4
('nr', 'f', 'v'),4
('a', 'vn', 'n'),4
('z', 'v', 'm'),4
('m', 'n', 'ns'),4
('v', 'zg', 'n'),4
('v', 'nz', 'v'),4
('v', 'ns', 't'),4
('i', 'v', 'a'),4
('v', 'm', 'r'),4
('m', 'r', 'n'),4
('n', 'a', 'm'),4
('nr', 'd', 'm'),4
('v', 'q', 'a'),4
('n', 'm', 'nr'),4
('c', 'nr', 'v'),4
('n', 'vn', 'm'),4
('d', 'i', 'v'),4
('b', 'v', 'n'),4
('d', 't', 'n'),4
('v', 'n', 'z'),4
('s', 'n', 'a'),4
('d', 'm', 'm'),4
('f', 'n', 'd'),4
('n', 'v', 'b'),4
('r', 'vn', 'v'),4
('d', 'n', 'vn'),4
('a', 't', 'nr'),4
('a', 'v', 'vn'),4
('s', 'n', 'v'),4
('v', 'ns', 'a'),4
('r', 'a', 'n'),4
('n', 'a', 'f'),4
('n', 'n', 's'),4
('m', 'ns', 'v'),4
('a', 'n', 'z'),4
('ad', 'v', 'n'),4
('v', 'n', 'i'),4
('nr', 'b', 'v'),4
('v', 'n', 'b'),4
('ns', 'v', 'm'),4
('m', 't', 'd'),4
('v', 'an', 'v'),4
('t', 'm', 'v'),4
('m', 'f', 'v'),4
('d', 's', 'v'),4
('ns', 'n', 'f'),3
('f', 'n', 'a'),3
('d', 'vn', 'v'),3
('l', 'n', 'd'),3
('nz', 'f', 'v'),3
('v', 'm', 'i'),3
('ad', 'n', 'v'),3
('v', 'd', 's'),3
('f', 'n', 'nr'),3
('nr', 'z', 'n'),3
('z', 'n', 'd'),3
('d', 'nz', 'v'),3
('v', 'r', 't'),3
('d', 'nr', 'n'),3
('z', 'a', 'n'),3
('n', 't', 'nr'),3
('v', 'vn', 'r'),3
('t', 'v', 't'),3
('ns', 'n', 'm'),3
('n', 'b', 'v'),3
('n', 'm', 'q'),3
('i', 'v', 'n'),3
('t', 'vn', 'v'),3
('vn', 'v', 'm'),3
('c', 'n', 'd'),3
('t', 'd', 'a'),3
('m', 'v', 'd'),3
('m', 'n', 't'),3
('m', 'm', 'd'),3
('nr', 'n', 'nr'),3
('v', 'j', 'v'),3
('b', 'v', 'a'),3
('s', 'n', 'n'),3
('d', 'l', 'v'),3
('a', 'm', 'm'),3
('l', 'v', 'nr'),3
('ns', 'c', 'v'),3
('v', 'ns', 'ns'),3
('t', 'm', 'm'),3
('n', 's', 'd'),3
('n', 'f', 'b'),3
('b', 'n', 'f'),3
('b', 'v', 'nr'),3
('vn', 'n', 'a'),3
('d', 'v', 'i'),3
('z', 'm', 'n'),3
('nz', 'n', 'd'),3
('v', 'm', 'c'),3
('nr', 'nr', 'm'),3
('a', 'n', 'l'),3
('nr', 'v', 'c'),3
('n', 'q', 'n'),3
('v', 'ad', 'nr'),3
('vn', 'n', 't'),3
('v', 'vn', 'nr'),3
('nr', 'm', 'd'),3
('m', 'd', 't'),3
('d', 't', 'm'),3
('d', 'b', 'n'),3
('v', 'ns', 'vn'),3
('vn', 'v', 'ns'),3
('t', 'v', 'ns'),3
('zg', 'n', 'v'),3
('m', 'v', 'q'),3
('i', 'v', 'm'),3
('nz', 'v', 'v'),3
('l', 'v', 't'),3
('a', 'c', 'm'),3
('v', 't', 'r'),3
('m', 'v', 'ns'),3
('a', 'ns', 'a'),3
('ns', 'a', 'n'),3
('a', 't', 'a'),3
('d', 'v', 'b'),3
('f', 'v', 'l'),3
('c', 'a', 't'),3
('t', 'c', 'v'),3
('n', 't', 't'),3
('b', 'v', 'd'),3
('a', 'c', 'a'),3
('a', 'nr', 'a'),3
('m', 'z', 'n'),3
('r', 'd', 'n'),3
('s', 'v', 'f'),3
('n', 'z', 'd'),3
('z', 'd', 'v'),3
('n', 'vn', 'd'),3
('n', 'ng', 'v'),3
('s', 'd', 'a'),3
('b', 'n', 'd'),3
('r', 'd', 'a'),3
('a', 'm', 't'),3
('m', 's', 'v'),3
('q', 'v', 'a'),3
('i', 'd', 'a'),3
('n', 's', 'a'),3
('v', 'a', 'l'),3
('a', 'l', 'v'),3
('i', 'n', 'v'),3
('vn', 'nr', 'n'),3
('f', 'a', 'b'),3
('ns', 'd', 'a'),3
('m', 't', 'n'),3
('m', 'a', 'm'),3
('v', 'nr', 'b'),3
('v', 'm', 's'),3
('c', 'd', 'v'),3
('ns', 'n', 'a'),3
('q', 'a', 'v'),3
('v', 'm', 'ad'),3
('m', 'ad', 'n'),3
('m', 'n', 'nz'),3
('vn', 'v', 't'),3
('f', 'm', 'v'),3
('v', 'l', 'nr'),3
('l', 'nr', 'v'),3
('i', 'd', 'v'),3
('d', 'f', 'v'),3
('v', 'm', 'b'),3
('m', 'b', 'n'),3
('f', 'v', 't'),3
('a', 'd', 'a'),3
('m', 'c', 'v'),3
('n', 'b', 'd'),3
('n', 'i', 'a'),3
('r', 'a', 'v'),3
('d', 'n', 'c'),3
('vn', 'v', 'nr'),3
('nr', 'm', 'v'),3
('i', 'a', 'v'),3
('t', 'd', 'r'),3
('m', 'q', 'n'),3
('a', 'nr', 't'),3
('f', 'n', 'ad'),3
('n', 'a', 'r'),3
('v', 's', 'a'),3
('t', 'a', 'd'),3
('r', 't', 'n'),3
('l', 'a', 'v'),3
('zg', 'v', 'n'),3
('d', 'n', 'r'),3
('n', 'r', 'd'),3
('m', 'vn', 'v'),3
('n', 't', 'c'),3
('v', 'q', 'm'),3
('a', 'a', 'ns'),3
('n', 'l', 'd'),3
('v', 'm', 'z'),3
('n', 'nr', 'i'),3
('z', 'n', 'f'),3
('b', 'n', 'a'),3
('v', 'b', 'a'),3
('n', 'i', 'n'),3
('vn', 't', 'v'),3
('v', 'nr', 'vn'),3
('nr', 'vn', 'v'),3
('l', 'a', 'd'),3
('f', 'v', 'f'),3
('a', 'b', 'n'),3
