('n', 'n', 'ns'),8
('r', 'd', 'v'),8
('b', 'v', 'n'),8
('a', 'f', 'v'),8
('s', 'v', 'd'),8
('b', 'n', 'n'),8
('v', 'q', 'd'),8
('n', 's', 'n'),8
('r', 'v', 'nr'),8
('ns', 'v', 'n'),8
('nr', 'n', 'a'),8
('f', 'a', 'n'),8
('a', 'n', 't'),8
('m', 'v', 'nrt'),8
('s', 'v', 'nr'),8
('n', 'q', 'v'),8
('d', 'nr', 'n'),8
('n', 'n', 'r'),8
('nrt', 'd', 'v'),8
('l', 'a', 'v'),8
('nrt', 'a', 'v'),8
('f', 'n', 'd'),8
('n', 'm', 'd'),8
('m', 'f', 'v'),8
('n', 'v', 'q'),8
('c', 'n', 'n'),8
('v', 't', 'm'),8
('a', 'nr', 'd'),8
('a', 'r', 'v'),8
('a', 'q', 'v'),8
('vn', 'n', 'n'),8
('n', 'n', 'nrt'),8
('v', 'v', 'ad'),8
('z', 'n', 'n'),8
('ad', 'v', 'n'),8
('v', 'nr', 'i'),8
('i', 'n', 'v'),8
('f', 'a', 'v'),7
('d', 'v', 'ns'),7
('s', 'nr', 'v'),7
('a', 'n', 'l'),7
('v', 'n', 'q'),7
('v', 'vn', 'a'),7
('n', 'd', 't'),7
('b', 'n', 'v'),7
('d', 'ns', 'v'),7
('nr', 'v', 'q'),7
('nr', 'i', 'v'),7
('f', 'm', 'v'),7
('l', 'v', 'a'),7
('v', 't', 't'),7
('l', 'v', 'nr'),7
('a', 'v', 'vn'),7
('z', 'v', 'nr'),7
('n', 'b', 'n'),7
('n', 'n', 's'),7
('nr', 't', 'n'),7
('d', 'a', 'm'),7
('r', 'n', 'f'),7
('v', 'v', 'ng'),7
('v', 'l', 'a'),7
('d', 'v', 'nrt'),7
('v', 'a', 'l'),7
('a', 'v', 'r'),7
('v', 'nr', 's'),7
('f', 'v', 't'),7
('n', 'nr', 'm'),7
('n', 'n', 'q'),7
('a', 'a', 'nr'),7
('d', 'v', 'l'),7
('t', 'nr', 'd'),7
('n', 'm', 'nr'),7
('ns', 'f', 'v'),7
('i', 'd', 'v'),7
('v', 'zg', 'v'),7
('nrt', 'n', 'v'),7
('m', 't', 'v'),7
('n', 'vn', 'd'),7
('n', 'nrt', 'n'),7
('m', 'm', 'n'),7
('v', 't', 'a'),7
('d', 'v', 'i'),7
('d', 'v', 'c'),7
('v', 'm', 'f'),7
('a', 'vn', 'n'),7
('n', 's', 'd'),6
('c', 'v', 'a'),6
('a', 'd', 'nr'),6
('n', 's', 'nr'),6
('n', 'a', 'b'),6
('b', 'v', 'a'),6
('m', 'q', 'n'),6
('t', 'v', 'a'),6
('a', 's', 'v'),6
('ns', 'v', 'nr'),6
('a', 'v', 'ns'),6
('n', 'd', 'l'),6
('a', 'ns', 'n'),6
('s', 'n', 'n'),6
('v', 'z', 'v'),6
('f', 'v', 'nr'),6
('d', 'n', 's'),6
('v', 'nr', 'l'),6
('n', 'n', 'b'),6
('v', 'v', 'u'),6
('nr', 'a', 'nr'),6
('v', 'n', 'b'),6
('n', 'f', 'nr'),6
('v', 'r', 'd'),6
('v', 'l', 'nr'),6
('nr', 'v', 'r'),6
('s', 'a', 'v'),6
('q', 'v', 'n'),6
('q', 'v', 'd'),6
('nr', 'n', 'm'),6
('t', 'v', 't'),6
('d', 'd', 'm'),6
('a', 'v', 'nrt'),6
('v', 'm', 'r'),6
('v', 's', 'm'),6
('d', 's', 'v'),6
('z', 'v', 'a'),6
('v', 'nrt', 'd'),6
('d', 'nrt', 'v'),6
('nrt', 'n', 'd'),6
('m', 'v', 't'),6
('v', 'a', 'r'),6
('v', 'c', 'nr'),6
('b', 'a', 'n'),6
('n', 'a', 'm'),6
('a', 'm', 'n'),6
('vn', 'v', 'm'),6
('q', 'n', 'n'),6
('v', 'r', 'a'),6
('m', 'nr', 'd'),6
('a', 'ns', 'v'),6
('s', 'n', 'v'),6
('r', 'v', 'a'),6
('v', 'm', 'c'),6
('d', 'd', 'd'),6
('t', 'd', 'a'),6
('nz', 'n', 'v'),6
('q', 'v', 'a'),6
('v', 'i', 'd'),6
('n', 'nr', 's'),6
('v', 'q', 'a'),6
('n', 'm', 'm'),6
('n', 't', 'd'),6
('a', 'v', 'f'),6
('nz', 'v', 'v'),6
('v', 'd', 'f'),6
('nrt', 'v', 'a'),6
('n', 'a', 't'),6
('v', 'd', 't'),6
('t', 'v', 'm'),6
('ad', 'n', 'v'),6
('m', 'v', 'f'),5
('v', 'ns', 'ns'),5
('f', 'n', 'nr'),5
