('ad', 'v', 'nr'),4
('zg', 'f', 'n'),4
('t', 'n', 't'),4
('d', 'l', 'v'),4
('z', 'nr', 'v'),4
('n', 'vn', 'a'),4
('nr', 'a', 'nr'),4
('b', 'n', 'nr'),4
('n', 'm', 't'),4
('v', 'zg', 'n'),4
('r', 'a', 'n'),4
('v', 'v', 'vn'),4
('n', 'b', 'v'),4
('v', 'v', 'nz'),4
('n', 'f', 'i'),4
('a', 'm', 'a'),4
('q', 'm', 'n'),4
('m', 's', 'v'),4
('v', 'l', 'm'),4
('f', 's', 'n'),4
('n', 'd', 't'),4
('d', 't', 'n'),4
('n', 'd', 'q'),4
('a', 'ng', 'n'),4
('i', 'n', 'd'),4
('nr', 'l', 'n'),4
('v', 'm', 'ns'),4
('a', 'm', 'nr'),4
('nr', 'ng', 'v'),4
('q', 'v', 'nr'),4
('f', 'v', 'f'),4
('n', 'nr', 'l'),4
('v', 'f', 'd'),4
('n', 'd', 'vn'),4
('n', 'i', 'v'),4
('r', 'n', 'm'),4
('d', 'n', 'nr'),4
('f', 'q', 'v'),4
('a', 'a', 'nr'),4
('v', 'a', 's'),4
('d', 'a', 'nr'),4
('v', 'ad', 'v'),4
('v', 'm', 'l'),4
('l', 'nr', 'v'),4
('nr', 'ad', 'v'),4
('nr', 'f', 'n'),4
('f', 'd', 'n'),4
('vn', 'nr', 'n'),4
('v', 'm', 'f'),4
('t', 'r', 'n'),4
('t', 't', 'v'),4
('v', 'f', 'nr'),4
('zg', 'n', 'n'),4
('v', 'nr', 'ns'),4
('nr', 'ns', 'v'),4
('n', 'zg', 'n'),4
('n', 't', 'd'),4
('o', 'v', 'n'),4
('b', 'n', 'a'),4
('l', 'a', 'n'),4
('v', 'v', 'i'),4
('m', 'f', 'v'),4
('m', 'v', 'l'),4
('f', 'n', 'd'),4
('r', 'd', 'v'),4
('v', 'ns', 'nr'),4
('n', 's', 'd'),4
('v', 'ns', 'ns'),4
('f', 'v', 's'),4
('v', 'ns', 'ng'),4
('n', 'a', 'f'),4
('a', 'ns', 'ng'),4
('t', 't', 't'),4
('ns', 'n', 's'),3
('m', 'z', 'n'),3
('ns', 'a', 'v'),3
('n', 'ns', 'nr'),3
('ns', 'v', 'b'),3
('a', 'f', 'n'),3
('v', 'm', 'b'),3
('n', 't', 'ns'),3
('ns', 'f', 'n'),3
('s', 'm', 'n'),3
('v', 'r', 's'),3
('n', 'ad', 'a'),3
('vn', 'v', 't'),3
('ns', 'm', 'n'),3
('ng', 'm', 'n'),3
('f', 'nr', 'n'),3
('nr', 'n', 'r'),3
('c', 'm', 'n'),3
('n', 'vg', 'v'),3
('f', 'd', 'd'),3
('ns', 'n', 'f'),3
('f', 'v', 't'),3
('v', 't', 'ns'),3
('n', 'v', 'vg'),3
('f', 'mq', 'v'),3
('f', 'n', 'l'),3
('z', 'n', 'a'),3
('n', 'f', 's'),3
('s', 'nr', 'nr'),3
('b', 'n', 's'),3
('r', 'nr', 'v'),3
('r', 'a', 'v'),3
('n', 'n', 'nz'),3
('v', 'ns', 'd'),3
('m', 'm', 'a'),3
('d', 'm', 'a'),3
('c', 'm', 'v'),3
('d', 'n', 's'),3
('n', 'f', 'r'),3
('vn', 'n', 'a'),3
('q', 'v', 'a'),3
('m', 'ns', 'v'),3
('v', 't', 'r'),3
('t', 'r', 'v'),3
('n', 't', 's'),3
('t', 's', 'v'),3
('vn', 'n', 'z'),3
('n', 'nr', 'q'),3
('l', 'n', 'd'),3
('f', 'f', 'nr'),3
('a', 't', 'n'),3
('t', 'v', 'm'),3
('v', 'd', 'f'),3
('ng', 'f', 'n'),3
('l', 'd', 'v'),3
('ng', 'a', 'v'),3
('d', 's', 'vn'),3
('nr', 's', 'nr'),3
('d', 'v', 'q'),3
('v', 'q', 't'),3
('q', 't', 'nr'),3
('f', 'a', 'nr'),3
('l', 'nr', 'n'),3
('m', 'v', 'q'),3
('n', 'v', 'o'),3
('f', 'n', 'm'),3
('nr', 'v', 'q'),3
('l', 'v', 'm'),3
('m', 'n', 'q'),3
('n', 'z', 'nr'),3
('f', 'nr', 'nr'),3
('v', 'z', 'nr'),3
