('ns', 'ns', 'v'),31
('nrt', 'n', 'v'),31
('n', 'ng', 'f'),30
('n', 'nr', 's'),30
('s', 'a', 'n'),30
('q', 'v', 'v'),30
('d', 'l', 'v'),30
('nz', 'n', 'v'),30
('v', 'm', 'ns'),30
('v', 'f', 'd'),30
('v', 'f', 'nr'),30
('v', 'v', 'nrt'),30
('nrt', 'v', 'v'),30
('nr', 't', 'n'),29
('a', 'v', 't'),29
('a', 'nr', 'd'),29
('b', 'v', 'v'),29
('d', 'n', 't'),29
('d', 'l', 'n'),29
('a', 'm', 'a'),29
('ad', 'v', 'v'),29
('d', 'v', 'l'),29
('v', 'd', 'ns'),29
('n', 'n', 'nrt'),29
('s', 'm', 'n'),28
('s', 'nr', 'v'),28
('a', 'n', 'l'),28
('m', 'm', 'a'),28
('n', 'nr', 't'),28
('t', 'nr', 'n'),28
('l', 'nr', 'n'),28
('nz', 'n', 'n'),28
('d', 't', 'n'),28
('v', 'ad', 'v'),28
('l', 'nr', 'v'),28
('r', 'd', 'v'),28
('n', 'v', 'b'),28
('v', 'l', 'nr'),28
('f', 'ns', 'n'),28
('n', 'ns', 'ns'),28
('d', 'ns', 'v'),27
('n', 'a', 's'),27
('m', 'n', 'ns'),27
('v', 'v', 'z'),27
('n', 'nz', 'n'),27
('d', 's', 'v'),27
('n', 'a', 't'),27
('v', 'ns', 't'),27
('b', 'v', 'n'),27
('v', 'ns', 'f'),27
('n', 't', 'a'),27
('c', 'd', 'v'),27
('nrt', 'n', 'n'),27
('v', 'nr', 'ns'),27
('n', 'f', 't'),27
('d', 'i', 'v'),27
('m', 'ns', 'n'),26
('f', 'v', 'ns'),26
('d', 'a', 'm'),26
('n', 'f', 's'),26
('v', 's', 'm'),26
('l', 'n', 'd'),26
('n', 'a', 'ns'),26
('d', 'd', 'a'),26
('m', 'v', 's'),26
('r', 'v', 'nr'),26
('l', 'a', 'n'),26
('t', 'd', 'n'),26
('v', 'ns', 'm'),25
('n', 'v', 'ng'),25
('t', 't', 'n'),25
('v', 's', 'a'),25
('v', 'd', 's'),25
('a', 'ns', 'n'),25
('n', 'b', 'v'),25
('ns', 'a', 'n'),25
('ng', 'n', 'n'),25
('t', 't', 'v'),25
('n', 'f', 'f'),25
('l', 'v', 'a'),25
('a', 'v', 'ns'),25
('f', 's', 'v'),25
('a', 'n', 'ns'),25
('d', 'c', 'n'),25
('ns', 'v', 'd'),24
('v', 'n', 'zg'),24
('nr', 'v', 't'),24
('nr', 'nr', 'd'),24
('t', 'n', 't'),24
('l', 'm', 'n'),24
('l', 'n', 'a'),24
('nr', 'v', 'l'),24
('nr', 'f', 'n'),24
('r', 'n', 'f'),24
('f', 'v', 's'),24
('m', 'v', 'f'),24
('n', 'f', 'r'),23
('m', 'ns', 'v'),23
('t', 'n', 'nr'),23
('n', 'nr', 'f'),23
('v', 'v', 'b'),23
('n', 'm', 't'),23
('v', 'v', 'nz'),23
('r', 'm', 'n'),23
('n', 'i', 'nr'),23
('nr', 'v', 'r'),23
('nr', 'ns', 'v'),23
('ns', 'f', 'v'),23
('n', 's', 'd'),23
('v', 'd', 'c'),23
('v', 's', 'f'),23
('s', 'f', 'v'),23
('ns', 'v', 'a'),22
('ns', 'f', 'n'),22
('s', 'nr', 'n'),22
('s', 'n', 'm'),22
('r', 'v', 'm'),22
('v', 'v', 'ng'),22
('v', 'b', 'v'),22
('nr', 'a', 'nr'),22
('a', 't', 'v'),22
('n', 's', 'a'),22
('n', 'f', 'l'),22
('v', 'a', 's'),22
('t', 'v', 'ns'),22
('d', 'r', 'v'),22
('n', 'ns', 'm'),22
('ng', 'v', 'v'),22
('n', 'l', 'a'),22
('m', 'm', 'd'),22
('v', 'ns', 'nr'),22
('m', 'v', 'ns'),22
('v', 'd', 'i'),22
('v', 'ng', 'v'),22
('m', 'n', 'l'),22
('d', 'c', 'v'),21
('mq', 'n', 'v'),21
('nz', 'v', 'v'),21
('nr', 's', 'n'),21
('vn', 'a', 'n'),21
('r', 'a', 'n'),21
('a', 'd', 'a'),21
('m', 'm', 'f'),21
('f', 'n', 't'),21
('f', 'm', 'm'),21
('a', 'a', 'nr'),21
('f', 'n', 'nr'),21
('l', 'v', 'd'),21
('n', 'zg', 'n'),21
('v', 'm', 'r'),21
('m', 'n', 'r'),21
('n', 'nr', 'ns'),21
('r', 'n', 'd'),21
('nr', 'ns', 'n'),21
('c', 'n', 'd'),21
('f', 'f', 'v'),21
('m', 'v', 't'),21
('n', 'ns', 'a'),20
('n', 'n', 'ad'),20
('a', 's', 'n'),20
('nr', 'l', 'v'),20
('a', 't', 'n'),20
('nr', 'n', 'l'),20
('nr', 'v', 'f'),20
('nz', 'v', 'n'),20
('d', 'n', 'ns'),20
('d', 'n', 'l'),20
('t', 'a', 'v'),20
('ns', 'n', 'a'),20
('c', 'v', 'm'),20
('i', 'nr', 'n'),20
('d', 'v', 'i'),20
('d', 'a', 'nr'),20
('r', 'n', 'nr'),20
('a', 'nr', 'a'),20
('v', 't', 'a'),20
('n', 'a', 'f'),20
('n', 'd', 's'),20
('a', 'd', 'd'),20
('n', 'd', 'i'),20
('ad', 'n', 'v'),19
('r', 'a', 'v'),19
('v', 'c', 'm'),19
('d', 'd', 'd'),19
('r', 'v', 'd'),19
('l', 'n', 'nr'),19
('r', 'n', 'a'),19
('v', 'n', 'ad'),19
('n', 's', 'nr'),19
('t', 'f', 'v'),19
